Nationality,Overall,Potential,Value,International Reputation,Age
Germany,84,84,3.20E+07,3,27
Spain,84,84,2.75E+07,3,31
Argentina,84,84,2.95E+07,4,30
Croatia,84,84,2.50E+07,3,32
Brazil,84,84,3.05E+07,3,29
Spain,84,85,2.40E+07,2,29
Argentina,84,84,2.90E+07,3,30
Belgium,84,84,2.40E+07,3,29
France,84,84,2.75E+07,3,31
Brazil,84,84,1.65E+07,3,34
France,84,84,1.90E+07,3,31
Colombia,84,84,2.50E+07,3,32
Denmark,84,84,1.90E+07,2,31
Spain,84,84,1.80E+07,3,32
Argentina,84,84,3.00E+07,3,30
Italy,84,84,4200000,3,37
Portugal,84,84,1.55E+07,3,34
Netherlands,84,84,1.55E+07,4,34
France,83,92,4.00E+07,3,21
Brazil,83,92,4.10E+07,2,21
Brazil,83,83,2.80E+07,1,26
Brazil,83,83,2.25E+07,1,26
Brazil,83,83,2.85E+07,1,26
France,83,89,3.05E+07,2,22
France,83,88,3.40E+07,2,23
France,83,89,3.55E+07,3,22
France,83,87,3.40E+07,2,22
Germany,83,88,2.95E+07,2,22
Brazil,83,90,3.65E+07,2,24
Germany,83,87,3.45E+07,3,22
France,83,87,3.30E+07,2,23
Germany,83,88,3.40E+07,3,23
Netherlands,83,84,3.05E+07,2,26
Spain,83,83,2.70E+07,2,27
Belgium,83,86,3.30E+07,3,24
Spain,83,85,3.20E+07,1,26
Brazil,83,83,2.00E+07,3,29
Croatia,83,89,3.50E+07,3,24
Spain,83,91,2.85E+07,1,23
Spain,83,84,3.00E+07,2,26
Germany,83,88,3.45E+07,2,22
England,83,88,2.50E+07,1,24
England,83,87,2.85E+07,2,24
Spain,83,86,3.30E+07,3,24
Germany,83,86,3.25E+07,3,24
Brazil,83,85,3.15E+07,3,25
Brazil,83,84,3.10E+07,3,25
Portugal,83,86,2.70E+07,3,26
Spain,83,85,2.45E+07,2,28
Germany,83,87,2.40E+07,2,25
Brazil,83,83,2.65E+07,2,27
Italy,83,83,1.90E+07,2,30
Spain,83,86,2.65E+07,3,26
Spain,83,84,3.05E+07,2,27
Portugal,83,83,2.55E+07,3,28
Brazil,83,84,2.10E+07,2,28
Germany,83,84,2.10E+07,2,28
Spain,83,84,2.40E+07,2,27
Croatia,83,83,1.30E+07,3,33
Poland,83,83,1.90E+07,3,30
Netherlands,83,83,2.10E+07,3,28
Netherlands,83,83,2.60E+07,3,29
Brazil,83,84,3.05E+07,3,26
Italy,83,83,2.75E+07,4,27
Brazil,83,83,1.90E+07,3,30
Brazil,83,83,2.60E+07,2,28
Brazil,83,83,1.75E+07,4,31
Germany,83,84,2.00E+07,2,29
Spain,83,83,2.45E+07,3,30
Spain,83,83,1.55E+07,2,31
Portugal,83,83,1.65E+07,3,30
Switzerland,83,84,2.00E+07,3,29
Spain,83,83,2.00E+07,3,29
Germany,83,83,2.00E+07,3,29
Brazil,83,83,1.75E+07,3,31
France,83,83,1.30E+07,3,33
Spain,83,83,2.20E+07,4,31
Belgium,83,83,2.40E+07,3,30
France,83,83,1.15E+07,4,35
Italy,83,83,8000000,3,34
Spain,83,83,6000000,3,35
Netherlands,82,91,2.70E+07,2,18
Spain,82,87,2.90E+07,1,22
Brazil,82,90,3.25E+07,1,21
Italy,82,93,2.90E+07,3,19
Brazil,82,82,1.65E+07,1,30
Brazil,82,82,6500000,1,34
Brazil,82,82,1.40E+07,1,30
Portugal,82,87,2.95E+07,3,23
Portugal,82,86,2.90E+07,1,21
Uruguay,82,87,2.50E+07,2,22
Brazil,82,89,3.15E+07,2,21
Spain,82,87,2.15E+07,1,23
France,82,88,2.55E+07,1,22
France,82,88,2.60E+07,1,23
Croatia,82,83,2.60E+07,2,27
Spain,82,83,2.00E+07,2,28
Italy,82,87,2.95E+07,2,24
Germany,82,88,3.05E+07,2,22
Italy,82,86,2.45E+07,2,23
Spain,82,86,2.90E+07,2,23
Portugal,82,88,2.55E+07,2,24
Italy,82,89,2.65E+07,2,23
Brazil,82,84,2.65E+07,1,25
England,82,82,2.00E+07,3,31
Italy,82,87,3.00E+07,3,24
Sweden,82,83,2.60E+07,2,26
England,82,83,2.65E+07,2,25
Argentina,82,82,2.15E+07,2,29
Germany,82,84,2.25E+07,2,25
Italy,82,83,2.05E+07,3,27
England,82,85,2.35E+07,1,25
Belgium,82,83,2.10E+07,2,26
Brazil,82,87,2.95E+07,2,25
Brazil,82,83,2.10E+07,2,27
Spain,82,85,2.85E+07,3,25
Netherlands,82,84,1.80E+07,3,29
France,82,82,2.35E+07,2,27
Spain,82,83,2.60E+07,2,26
Spain,82,85,2.85E+07,2,25
Spain,82,82,2.25E+07,2,28
Spain,82,83,2.10E+07,3,27
Uruguay,82,83,2.10E+07,3,27
Brazil,82,83,2.65E+07,2,26
Spain,82,83,1.95E+07,2,29
Denmark,82,83,2.15E+07,2,26
Belgium,82,85,1.95E+07,2,26
Germany,82,85,2.70E+07,4,26
Germany,82,84,2.25E+07,3,26
Argentina,82,82,2.15E+07,3,29
Spain,82,82,2.10E+07,3,30
Italy,82,82,2.20E+07,3,28
Switzerland,82,85,1.85E+07,3,27
Brazil,82,82,2.10E+07,2,30
France,82,82,1.70E+07,2,29
Wales,82,83,2.50E+07,3,27
England,82,82,1.85E+07,2,27
Italy,82,82,2.00E+07,2,31
Argentina,82,82,2.10E+07,3,30
England,82,82,1.80E+07,2,28
Germany,82,82,2.15E+07,2,30
Italy,82,82,9000000,2,33
France,82,82,1.25E+07,3,32
Croatia,82,82,1.25E+07,3,32
Netherlands,82,82,2.30E+07,3,27
Argentina,82,82,1.50E+07,3,31
France,82,82,2.00E+07,3,31
Spain,82,82,1.50E+07,3,31
Mexico,82,82,1.90E+07,3,31
Argentina,82,82,1.50E+07,3,31
Brazil,82,82,1.25E+07,2,32
Italy,82,82,1.35E+07,3,31
Italy,82,82,1.25E+07,2,32
France,82,82,1.25E+07,3,32
Italy,82,82,1.35E+07,2,31
Argentina,82,82,1.25E+07,3,32
Brazil,82,82,4800000,4,35
Spain,82,82,8000000,3,36
Spain,82,82,8000000,3,37
Spain,82,82,1500000,4,37
England,81,89,2.70E+07,2,20
Brazil,81,81,1.70E+07,1,30
Switzerland,81,87,2.10E+07,2,22
Netherlands,81,89,2.60E+07,1,21
Portugal,81,86,2.00E+07,2,24
Spain,81,86,2.40E+07,1,22
Spain,81,89,2.60E+07,1,22
Spain,81,88,2.50E+07,1,21
Mexico,81,86,2.40E+07,3,22
Spain,81,81,1.70E+07,1,30
Italy,81,84,2.25E+07,2,24
Croatia,81,84,1.85E+07,2,25
Spain,81,87,2.45E+07,2,24
Argentina,81,87,2.45E+07,1,23
Denmark,81,88,2.15E+07,2,22
Portugal,81,84,2.25E+07,3,25
Poland,81,88,2.45E+07,3,24
Portugal,81,85,1.90E+07,3,24
Spain,81,87,2.05E+07,3,22
Portugal,81,86,2.40E+07,3,24
France,81,85,1.95E+07,2,25
Colombia,81,81,1.60E+07,3,31
France,81,83,2.20E+07,2,25
Wales,81,84,1.85E+07,2,25
Poland,81,88,2.55E+07,3,24
France,81,86,2.00E+07,2,23
Germany,81,82,1.70E+07,2,27
Croatia,81,84,1.80E+07,2,26
Belgium,81,83,2.15E+07,2,25
Germany,81,81,1.80E+07,3,28
Italy,81,82,2.10E+07,2,27
France,81,84,1.50E+07,2,27
Germany,81,83,2.20E+07,2,25
Spain,81,85,2.35E+07,2,24
Spain,81,81,1.80E+07,2,28
Switzerland,81,84,2.20E+07,3,25
Chile,81,81,1.70E+07,2,29
Italy,81,81,1.95E+07,2,25
Croatia,81,82,1.60E+07,2,28
Chile,81,81,1.30E+07,3,30
Switzerland,81,81,1.90E+07,3,26
Mexico,81,83,2.15E+07,3,25
France,81,85,1.65E+07,2,25
Germany,81,82,1.75E+07,2,26
Spain,81,81,1.75E+07,3,28
Argentina,81,81,1.85E+07,2,27
Italy,81,82,2.10E+07,3,25
England,81,82,1.60E+07,3,28
Brazil,81,81,1.55E+07,4,31
Argentina,81,85,2.30E+07,2,25
Germany,81,81,1.80E+07,2,29
Argentina,81,81,1.75E+07,3,29
Uruguay,81,81,1.00E+07,3,32
Germany,81,81,1.30E+07,3,30
Denmark,81,81,1.40E+07,3,29
Germany,81,81,1.40E+07,2,29
France,81,81,1.10E+07,3,33
Spain,81,81,1.55E+07,2,31
Poland,81,81,7000000,3,33
Italy,81,81,1.55E+07,3,31
Denmark,81,81,1.70E+07,2,29
Argentina,81,82,2.10E+07,2,26
England,81,81,1.45E+07,3,27
Mexico,81,81,1.75E+07,3,29
Brazil,81,81,1.65E+07,2,30
Poland,81,81,9000000,2,33
Portugal,81,81,1.50E+07,3,31
Spain,81,81,1.10E+07,3,33
Italy,81,81,8000000,2,35
France,81,81,1.40E+07,3,32
Portugal,81,81,1.40E+07,2,32
Mexico,81,81,1.75E+07,3,28
Brazil,81,81,1.10E+07,2,33
Portugal,81,81,1.55E+07,3,31
England,81,81,1.35E+07,2,32
France,81,81,5500000,3,34
Spain,81,81,6000000,2,36
Uruguay,80,85,2.05E+07,1,21
Germany,80,89,2.20E+07,1,19
France,80,89,2.25E+07,1,21
France,80,90,2.35E+07,1,20
Spain,80,87,2.10E+07,1,21
Spain,80,88,1.85E+07,1,22
Brazil,80,80,1.05E+07,1,30
Brazil,80,80,4500000,1,34
Spain,80,87,2.10E+07,1,21
France,80,86,1.75E+07,1,22
Argentina,80,86,2.00E+07,1,22
Argentina,80,80,1.25E+07,2,26
Portugal,80,87,2.05E+07,2,21
Brazil,80,80,1.20E+07,1,28
Italy,80,86,1.75E+07,2,24
Uruguay,80,81,1.45E+07,2,26
France,80,85,1.70E+07,2,23
Germany,80,86,2.00E+07,2,22
Portugal,80,83,1.85E+07,2,25
Argentina,80,85,1.40E+07,3,26
Argentina,80,80,9000000,1,31
Portugal,80,85,2.00E+07,2,22
Spain,80,85,2.00E+07,1,22
Germany,80,84,1.95E+07,2,24
Spain,80,85,1.65E+07,2,23
Portugal,80,85,1.95E+07,3,24
Argentina,80,82,1.50E+07,2,25
France,80,85,1.95E+07,2,23
Spain,80,83,1.30E+07,1,26
Germany,80,85,1.95E+07,2,24
Germany,80,82,1.55E+07,2,24
England,80,83,1.55E+07,2,25
Argentina,80,85,0,2,24
England,80,85,1.65E+07,2,22
France,80,83,1.90E+07,1,24
Brazil,80,81,1.75E+07,2,25
Spain,80,81,1.75E+07,1,26
Belgium,80,84,1.95E+07,2,24
England,80,83,1.30E+07,1,26
Spain,80,85,1.65E+07,3,23
England,80,85,1.40E+07,2,25
Denmark,80,81,1.45E+07,2,25
England,80,83,1.55E+07,1,25
Spain,80,82,1.85E+07,3,24
England,80,84,1.65E+07,2,24
Colombia,80,84,1.60E+07,2,26
Croatia,80,80,1.15E+07,2,29
Brazil,80,80,1.15E+07,1,28
Germany,80,81,1.45E+07,1,25
France,80,84,1.60E+07,2,24
Germany,80,81,1.75E+07,1,26
Spain,80,80,1.60E+07,2,26
Croatia,80,80,1.15E+07,3,29
Colombia,80,81,1.75E+07,2,27
England,80,85,1.95E+07,2,24
Spain,80,80,1.55E+07,2,28
Spain,80,81,1.35E+07,2,27
Portugal,80,80,1.20E+07,2,27
Germany,80,80,1.50E+07,2,28
Switzerland,80,83,1.55E+07,3,25
Argentina,80,80,1.55E+07,2,27
Spain,80,80,1.20E+07,2,27
Brazil,80,80,1.15E+07,2,29
Netherlands,80,80,1.20E+07,3,28
Netherlands,80,83,1.25E+07,2,27
Spain,80,80,1.55E+07,2,27
Spain,80,80,1.50E+07,3,28
Netherlands,80,80,1.60E+07,2,27
Spain,80,80,9000000,2,31
Spain,80,83,1.85E+07,2,25
Spain,80,80,1.40E+07,2,30
Germany,80,80,1.20E+07,2,28
Germany,80,81,1.15E+07,2,27
Spain,80,81,1.35E+07,2,28
Germany,80,80,1.00E+07,2,29
Argentina,80,80,1.25E+07,3,27
Uruguay,80,80,1.35E+07,1,31
Spain,80,80,7000000,3,34
England,80,80,1.15E+07,2,28
England,80,80,1.35E+07,3,30
Brazil,80,80,1.00E+07,2,31
Brazil,80,80,1.55E+07,3,28
Portugal,80,80,9500000,2,31
Spain,80,80,8000000,2,32
Spain,80,80,1.25E+07,2,31
Argentina,80,80,1.10E+07,2,32
France,80,80,1.35E+07,3,31
Argentina,80,80,9000000,2,33
Argentina,80,80,9000000,3,31
Italy,80,80,1.00E+07,2,31
Argentina,80,80,1.15E+07,2,32
England,80,80,1.55E+07,3,28
Spain,80,80,1.30E+07,2,31
Belgium,80,80,1.35E+07,2,30
England,80,80,8500000,3,32
France,80,80,6000000,3,33
France,80,80,8500000,2,32
Brazil,80,80,4500000,3,34
Sweden,80,80,0,2,33
France,80,80,1.20E+07,3,32
Germany,80,80,1.20E+07,3,32
Spain,80,80,5500000,3,33
Spain,80,80,2000000,3,36
Spain,80,80,8500000,3,33
Spain,80,80,1.15E+07,2,32
Argentina,80,80,4500000,4,34
Italy,80,80,6000000,2,34
Croatia,80,80,1700000,3,36
Germany,80,80,6000000,4,33
Spain,80,80,6000000,2,34
England,80,80,1.20E+07,4,32
Spain,80,80,8000000,3,34
Italy,80,80,1000000,2,39
Portugal,79,85,1.50E+07,1,21
Brazil,79,86,1.80E+07,2,21
Brazil,79,86,1.80E+07,1,21
Brazil,79,86,1.80E+07,1,21
Argentina,79,86,1.80E+07,1,20
Brazil,79,79,1.20E+07,1,30
Brazil,79,79,9000000,1,26
Brazil,79,79,9500000,1,30
Brazil,79,79,9500000,1,30
Brazil,79,79,3600000,1,34
Portugal,79,87,1.90E+07,2,22
France,79,84,1.45E+07,2,21
Spain,79,87,1.60E+07,1,23
Netherlands,79,86,1.80E+07,1,20
France,79,86,1.50E+07,2,22
Uruguay,79,80,1.00E+07,1,29
Argentina,79,85,1.75E+07,1,22
Spain,79,79,1.20E+07,1,29
Argentina,79,84,1.70E+07,2,24
Germany,79,84,1.45E+07,3,22
Sweden,79,85,1.45E+07,2,23
Croatia,79,82,1.60E+07,1,24
Argentina,79,80,1.45E+07,1,26
Germany,79,84,1.70E+07,2,24
France,79,86,1.80E+07,2,21
Italy,79,81,1.25E+07,2,26
Argentina,79,82,1.60E+07,2,25
Argentina,79,79,1.30E+07,2,28
Argentina,79,80,1.15E+07,1,28
Colombia,79,84,1.45E+07,1,23
Portugal,79,84,1.70E+07,1,23
Germany,79,83,1.60E+07,2,22
Portugal,79,83,1.65E+07,2,23
Argentina,79,81,1.55E+07,1,25
Spain,79,83,1.35E+07,2,24
Brazil,79,85,1.75E+07,1,23
Germany,79,80,1.50E+07,2,25
Netherlands,79,84,1.45E+07,1,23
Germany,79,79,1.00E+07,3,28
Argentina,79,79,1.00E+07,1,28
Spain,79,80,1.45E+07,2,27
Spain,79,83,1.15E+07,2,24
Italy,79,82,1.55E+07,2,26
Netherlands,79,83,1.40E+07,1,23
Spain,79,86,1.75E+07,2,24
Portugal,79,80,1.15E+07,2,27
Spain,79,80,1.20E+07,2,27
France,79,83,1.40E+07,2,23
Spain,79,79,1.00E+07,2,29
Germany,79,83,1.15E+07,2,25
Netherlands,79,81,1.50E+07,2,25
Germany,79,82,1.60E+07,2,24
Spain,79,83,1.60E+07,2,24
France,79,84,1.40E+07,2,25
Germany,79,80,1.20E+07,1,26
Netherlands,79,80,1.20E+07,1,26
Argentina,79,79,1.00E+07,3,28
France,79,84,1.65E+07,1,25
France,79,82,1.30E+07,2,25
Uruguay,79,79,1.30E+07,2,27
Spain,79,79,1.00E+07,1,28
France,79,80,1.20E+07,2,25
Netherlands,79,80,1.50E+07,2,26
Belgium,79,81,1.55E+07,1,25
Spain,79,82,1.55E+07,1,25
Netherlands,79,80,1.45E+07,2,25
Spain,79,79,1.10E+07,3,31
Spain,79,79,1.25E+07,1,28
Brazil,79,80,1.20E+07,2,26
England,79,82,1.60E+07,2,24
Spain,79,79,1.25E+07,2,29
France,79,79,1.05E+07,2,27
France,79,80,1.20E+07,2,27
Portugal,79,82,1.55E+07,1,26
Italy,79,79,9000000,2,30
England,79,81,1.55E+07,1,26
England,79,80,1.20E+07,2,26
Spain,79,79,1.30E+07,1,27
Argentina,79,81,1.25E+07,1,27
Spain,79,79,9000000,1,30
Spain,79,79,1.00E+07,1,28
Spain,79,79,1.30E+07,1,28
Brazil,79,79,1.30E+07,2,28
Brazil,79,80,1.45E+07,2,27
England,79,80,1.15E+07,2,27
Switzerland,79,79,8000000,2,30
Spain,79,79,9500000,2,29
England,79,79,1.00E+07,1,28
Brazil,79,79,1.05E+07,2,27
Spain,79,79,9500000,2,30
England,79,81,1.50E+07,3,26
Germany,79,79,1.00E+07,2,28
Brazil,79,79,1.00E+07,2,29
France,79,80,1.20E+07,2,27
Brazil,79,79,1.30E+07,3,28
France,79,80,1.15E+07,2,28
Germany,79,80,1.00E+07,2,29
England,79,79,1.25E+07,2,28
Croatia,79,79,1.20E+07,3,30
Brazil,79,79,7000000,1,32
Portugal,79,79,1.20E+07,3,29
Brazil,79,79,9500000,2,30
Argentina,79,79,8500000,1,31
Germany,79,79,1.25E+07,2,29
France,79,80,1.15E+07,3,28
Brazil,79,80,1.15E+07,2,28
Italy,79,79,1.15E+07,3,31
Mexico,79,79,1.20E+07,3,30
Spain,79,79,8000000,1,30
Spain,79,79,7500000,2,31
Spain,79,79,1.15E+07,1,31
France,79,79,1.00E+07,2,28
Belgium,79,79,1.15E+07,3,30
Sweden,79,79,7000000,2,32
Colombia,79,79,8500000,2,29
Belgium,79,79,8000000,3,30
England,79,79,1.00E+07,2,28
Italy,79,79,7000000,2,32
England,79,79,1.25E+07,3,29
Brazil,79,79,6500000,1,34
England,79,79,7000000,2,32
France,79,79,1.10E+07,3,31
Argentina,79,79,8500000,2,31
Argentina,79,79,8000000,3,33
Netherlands,79,79,1.10E+07,3,31
England,79,79,7000000,2,32
England,79,79,7500000,3,31
Argentina,79,79,6000000,2,35
Germany,79,79,3800000,2,34
Germany,79,79,6500000,2,33
Switzerland,79,79,3600000,3,34
Spain,78,83,1.40E+07,1,24
Brazil,78,87,1.40E+07,1,20
Italy,78,87,1.60E+07,2,20
Italy,78,81,1.30E+07,1,24
Argentina,78,84,1.20E+07,1,21
France,78,90,1.40E+07,2,19
England,78,88,1.40E+07,1,19
Croatia,78,84,1.40E+07,1,22
Brazil,78,78,9000000,1,26
Brazil,78,78,7500000,1,30
Brazil,78,78,5000000,1,34
Brazil,78,78,7500000,1,30
France,78,80,1.25E+07,1,25
England,78,85,1.25E+07,1,21
Portugal,78,81,1.30E+07,1,24
Italy,78,88,1.45E+07,1,21
France,78,86,1.30E+07,1,23
Italy,78,84,1.40E+07,2,22
Brazil,78,79,1.20E+07,1,27
Portugal,78,84,1.40E+07,1,22
Argentina,78,78,6000000,1,32
Argentina,78,82,1.35E+07,1,25
Germany,78,84,1.40E+07,1,21
Germany,78,85,1.45E+07,1,21
Spain,78,86,1.35E+07,1,21
England,78,88,1.45E+07,1,21
Portugal,78,86,1.55E+07,2,21
Spain,78,83,1.35E+07,1,23
Brazil,78,78,1.05E+07,1,28
Spain,78,80,9000000,1,25
France,78,83,1.40E+07,2,23
Netherlands,78,80,1.30E+07,1,25
Brazil,78,78,1.00E+07,1,29
Spain,78,86,1.30E+07,1,20
Colombia,78,85,1.25E+07,1,23
Brazil,78,80,1.05E+07,2,25
Argentina,78,85,1.50E+07,2,22
Argentina,78,79,1.25E+07,1,25
Belgium,78,87,1.60E+07,2,21
Brazil,78,78,7500000,1,30
Netherlands,78,83,1.15E+07,2,22
Spain,78,81,1.05E+07,1,26
Italy,78,81,9000000,2,26
Brazil,78,81,1.10E+07,2,25
Colombia,78,79,1.20E+07,2,27
Argentina,78,83,1.40E+07,1,23
Argentina,78,81,1.30E+07,1,25
Argentina,78,78,8000000,1,29
Colombia,78,85,1.25E+07,1,24
Colombia,78,81,1.05E+07,1,25
Uruguay,78,80,1.25E+07,2,25
Germany,78,84,1.20E+07,1,23
Belgium,78,84,1.20E+07,2,23
Portugal,78,80,1.25E+07,1,25
Denmark,78,84,1.40E+07,1,23
Germany,78,81,1.10E+07,1,24
Italy,78,82,1.15E+07,2,24
Spain,78,83,1.35E+07,1,25
Italy,78,83,1.40E+07,2,23
Germany,78,79,1.00E+07,2,26
Colombia,78,80,1.25E+07,2,25
Brazil,78,80,8500000,2,27
Spain,78,83,1.35E+07,3,23
Spain,78,80,1.05E+07,1,25
Brazil,78,84,1.40E+07,1,22
Belgium,78,84,1.40E+07,1,23
Italy,78,86,1.50E+07,2,23
Brazil,78,82,9500000,1,25
Denmark,78,80,1.30E+07,2,24
Belgium,78,84,1.40E+07,1,23
Germany,78,83,1.35E+07,2,24
Italy,78,81,1.05E+07,2,25
Brazil,78,79,1.25E+07,2,25
Italy,78,78,1.05E+07,2,29
Italy,78,84,1.05E+07,1,24
Argentina,78,78,1.00E+07,2,29
Germany,78,79,1.25E+07,1,25
Mexico,78,79,1.20E+07,3,27
Argentina,78,78,1.10E+07,2,27
Uruguay,78,78,1.10E+07,1,27
Colombia,78,81,1.05E+07,2,26
France,78,80,8500000,2,27
Spain,78,79,1.20E+07,1,26
France,78,79,1.15E+07,1,27
England,78,83,1.20E+07,1,24
Netherlands,78,83,1.20E+07,2,24
Spain,78,79,9500000,1,28
France,78,78,1.10E+07,2,27
Brazil,78,81,1.10E+07,1,26
Italy,78,80,1.25E+07,2,26
Portugal,78,80,1.00E+07,1,27
Germany,78,80,1.00E+07,1,28
Belgium,78,78,1.05E+07,2,28
Spain,78,78,7000000,1,31
England,78,81,1.10E+07,1,26
Chile,78,78,9000000,2,31
Sweden,78,81,1.30E+07,2,26
Spain,78,83,1.15E+07,1,26
Spain,78,80,1.05E+07,2,26
Spain,78,78,1.05E+07,2,29
Portugal,78,82,9500000,1,26
France,78,80,1.00E+07,2,27
Poland,78,79,9500000,3,28
Uruguay,78,78,1.00E+07,2,29
Argentina,78,78,5000000,3,34
France,78,78,5500000,3,32
Spain,78,78,9500000,2,30
Portugal,78,78,1.00E+07,3,30
France,78,78,6500000,2,30
Brazil,78,78,0,2,40
Argentina,78,78,1.00E+07,2,30
Mexico,78,78,1.00E+07,1,30
Spain,78,78,8000000,2,32
France,78,78,1.05E+07,2,28
Brazil,78,80,1.00E+07,2,27
Chile,78,78,2400000,3,35
Brazil,78,78,6000000,3,33
Spain,78,78,7000000,2,31
Spain,78,78,6500000,2,31
Uruguay,78,78,7000000,2,31
Portugal,78,78,8000000,2,29
England,78,78,1.00E+07,2,29
England,78,79,9000000,2,29
England,78,80,1.25E+07,2,26
Netherlands,78,78,9500000,2,30
Netherlands,78,78,1.00E+07,2,30
Brazil,78,78,4000000,2,33
England,78,78,8500000,1,27
Germany,78,78,6500000,3,33
Argentina,78,78,7000000,2,31
Spain,78,78,6000000,1,32
France,78,78,1.00E+07,2,29
England,77,82,1.20E+07,2,23
Uruguay,77,82,1.20E+07,1,23
Germany,77,77,7500000,2,31
Spain,77,85,1.10E+07,1,21
Argentina,77,77,7000000,3,28
Brazil,77,77,8500000,2,29
Brazil,77,81,1.15E+07,1,24
Spain,77,77,3600000,2,33
Netherlands,77,81,1.15E+07,2,23
France,77,77,9000000,2,28
France,77,77,4700000,2,34
Spain,77,77,4100000,2,35
Argentina,77,77,2100000,2,35
Netherlands,77,82,1.00E+07,1,23
Colombia,77,78,1.05E+07,2,25
France,77,78,1.00E+07,2,27
Germany,77,77,7000000,2,28
Belgium,77,77,8500000,2,29
Argentina,77,77,5000000,3,32
Colombia,77,78,8000000,1,27
England,77,85,1.30E+07,1,21
Italy,77,78,1.05E+07,2,26
Brazil,77,77,600000,2,37
